Departing,arriving,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),Seats,Year
COFFS HARBOUR,SYDNEY,Jul-24,18457,417,78.5,443,23502,2024
CAIRNS,MELBOURNE,Jul-24,86404,475,92.9,2311,92990,2024
CAIRNS,GOLD COAST,Jul-24,0,0,0,1484,0,2024
CAIRNS,SYDNEY,Jul-24,93943,561,87.8,1971,106943,2024
CAIRNS,TOWNSVILLE,Jul-24,0,0,0,284,0,2024
DUBBO,SYDNEY,Jul-24,14451,471,58.8,310,24594,2024
DEVONPORT,MELBOURNE,Jul-24,10968,332,72.8,412,15060,2024
DARWIN,MELBOURNE,Jul-24,30234,182,92.9,3131,32536,2024
DARWIN,PERTH,Jul-24,19980,142,79.8,2651,25030,2024
DARWIN,SYDNEY,Jul-24,0,0,0,3155,0,2024
GERALDTON,PERTH,Jul-24,9570,210,49.1,370,19484,2024
HOBART,MELBOURNE,Jul-24,112358,858,80.7,618,139168,2024
HOBART,SYDNEY,Jul-24,64824,471,78.1,1039,82962,2024
HAMILTON ISLAND,MELBOURNE,Jul-24,0,0,0,1965,0,2024
HAMILTON ISLAND,SYDNEY,Jul-24,23625,164,81.7,1526,28924,2024
KALGOORLIE,PERTH,Jul-24,31670,402,54.8,538,57836,2024
KARRATHA,PERTH,Jul-24,57692,476,72.7,1250,79324,2024
LAUNCESTON,MELBOURNE,Jul-24,66507,667,82.9,476,80265,2024
LAUNCESTON,SYDNEY,Jul-24,27654,199,84.5,914,32718,2024
SUNSHINE COAST,MELBOURNE,Jul-24,61430,358,93.8,1454,65518,2024
SUNSHINE COAST,SYDNEY,Jul-24,64825,426,84.5,837,76732,2024
MELBOURNE,MILDURA,Jul-24,13204,420,74.5,457,17735,2024
MELBOURNE,NEWCASTLE,Jul-24,38156,315,79.6,836,47921,2024
MELBOURNE,GOLD COAST,Jul-24,192857,1132,92.4,1330,208724,2024
MELBOURNE,PERTH,Jul-24,172225,1176,80.2,2706,214796,2024
MELBOURNE,BALLINA,Jul-24,0,0,0,1274,0,2024
MELBOURNE,SYDNEY,Jul-24,651860,4831,78.3,706,832884,2024
MELBOURNE,TOWNSVILLE,Jul-24,0,0,0,2055,0,2024
GOLD COAST,SYDNEY,Jul-24,222293,1485,84.3,680,263596,2024
PERTH,PORT HEDLAND,Jul-24,44081,403,68.3,1312,64542,2024
PERTH,SYDNEY,Jul-24,134210,885,79.4,3284,169053,2024
PERTH,NEWMAN,Jul-24,38121,367,65.2,1019,58451,2024
PROSERPINE,SYDNEY,Jul-24,0,0,0,1517,0,2024
PORT MACQUARIE,SYDNEY,Jul-24,13498,324,67.8,321,19908,2024
BALLINA,SYDNEY,Jul-24,43501,368,79.7,612,54560,2024
SYDNEY,TAMWORTH,45474,0,0,0,320,0,2024
SYDNEY,TOWNSVILLE,45474,0,0,0,1690,0,2024
SYDNEY,WAGGA WAGGA,45474,13869,404,61.5,367,22544,2024
ALBURY,SYDNEY,Aug-24,14601,386,70.5,452,20701,2024
ADELAIDE,ALICE SPRINGS,Aug-24,9642,173,66.3,1316,14546,2024
ADELAIDE,BRISBANE,Aug-24,70612,648,87.1,1622,81096,2024
ADELAIDE,CANBERRA,Aug-24,15281,209,67.6,972,22619,2024
ADELAIDE,CAIRNS,Aug-24,0,0,0,2131,0,2024
ADELAIDE,DARWIN,Aug-24,0,0,0,2619,0,2024
ADELAIDE,HOBART,Aug-24,0,0,0,1172,0,2024
ADELAIDE,MELBOURNE,Aug-24,190377,1336,86.4,643,220392,2024
ADELAIDE,GOLD COAST,Aug-24,23405,124,92.9,1607,25201,2024
ADELAIDE,PERTH,Aug-24,57084,402,81.6,2120,69953,2024
ADELAIDE,PORT LINCOLN,Aug-24,13624,559,59.3,246,22960,2024
ADELAIDE,SYDNEY,Aug-24,144417,1116,77.3,1167,186733,2024
ARMIDALE,SYDNEY,Aug-24,0,0,0,382,0,2024
ALICE SPRINGS,DARWIN,Aug-24,0,0,0,1305,0,2024
ALICE SPRINGS,MELBOURNE,Aug-24,0,0,0,1860,0,2024
ALICE SPRINGS,SYDNEY,Aug-24,0,0,0,2022,0,2024
AYERS ROCK,SYDNEY,Aug-24,0,0,0,2181,0,2024
BUNDABERG,BRISBANE,Aug-24,12539,311,65.7,287,19086,2024
BROOME,PERTH,Aug-24,37564,285,82.3,1677,45636,2024
BRISBANE,CANBERRA,Aug-24,57876,573,82,956,70609,2024
BRISBANE,CAIRNS,Aug-24,116615,908,89.8,1391,129883,2024
BRISBANE,DARWIN,Aug-24,33315,246,92.3,2852,36103,2024
BRISBANE,EMERALD,Aug-24,16287,357,60.6,653,26888,2024
BRISBANE,GLADSTONE,Aug-24,19753,348,66.5,434,29683,2024
BRISBANE,HOBART,Aug-24,22167,154,90.5,1791,24491,2024
BRISBANE,HAMILTON ISLAND,Aug-24,12497,119,76.7,888,16288,2024
BRISBANE,MOUNT ISA,Aug-24,14460,179,70.4,1573,20549,2024
BRISBANE,LAUNCESTON,Aug-24,10114,64,89.9,1664,11248,2024
BRISBANE,MELBOURNE,Aug-24,297655,1966,90.2,1381,330059,2024
BRISBANE,MACKAY,Aug-24,67802,610,82.7,797,82001,2024
BRISBANE,MORANBAH,Aug-24,9150,224,54.6,780,16764,2024
BRISBANE,NEWCASTLE,Aug-24,43861,443,83.8,614,52319,2024
BRISBANE,PERTH,Aug-24,87854,606,83.8,3615,104870,2024
BRISBANE,PROSERPINE,Aug-24,24069,160,93.2,895,25828,2024
BRISBANE,ROCKHAMPTON,Aug-24,52057,713,79.1,518,65840,2024
BRISBANE,SYDNEY,Aug-24,372101,2546,88,753,422667,2024
BRISBANE,TOWNSVILLE,Aug-24,87604,792,87.4,1112,100219,2024
CANBERRA,MELBOURNE,Aug-24,84518,734,75.8,470,111495,2024
CANBERRA,GOLD COAST,Aug-24,14585,88,92.8,892,15724,2024
CANBERRA,SYDNEY,Aug-24,58177,1290,61.3,236,94853,2024
COFFS HARBOUR,SYDNEY,Aug-24,17326,406,76.4,443,22669,2024
CAIRNS,MELBOURNE,Aug-24,79575,438,93.3,2311,85294,2024
CAIRNS,GOLD COAST,Aug-24,0,0,0,1484,0,2024
CAIRNS,SYDNEY,Aug-24,84897,508,90.8,1971,93486,2024
CAIRNS,TOWNSVILLE,Aug-24,0,0,0,284,0,2024
DUBBO,SYDNEY,Aug-24,15668,477,62.6,310,25042,2024
DEVONPORT,MELBOURNE,Aug-24,10945,333,72.7,412,15050,2024
DARWIN,MELBOURNE,Aug-24,29069,186,87.3,3131,33282,2024
DARWIN,PERTH,Aug-24,19080,143,76.8,2651,24844,2024
DARWIN,SYDNEY,Aug-24,0,0,0,3155,0,2024
GERALDTON,PERTH,Aug-24,10242,211,53.4,370,19196,2024
HOBART,MELBOURNE,Aug-24,102751,725,89.5,618,114775,2024
HOBART,SYDNEY,Aug-24,58379,435,76.1,1039,76727,2024
HAMILTON ISLAND,MELBOURNE,Aug-24,0,0,0,1965,0,2024
HAMILTON ISLAND,SYDNEY,Aug-24,19879,150,75.5,1526,26316,2024
KALGOORLIE,PERTH,Aug-24,34395,422,56.4,538,61022,2024
